City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vorgashor,67.5833,63.95,-30.4,97,33,1.59,RU,1701798824
83,vila franca do campo,37.7167,-25.4333,19.23,99,100,7.52,PT,1701798824
84,vadso,70.0744,29.7487,-4.91,63,20,11.32,NO,1701798824
85,khandyga,62.6667,135.6,-51.99,100,45,0.41,RU,1701798824
86,agadez,19.75,10.25,21.02,21,0,2.43,NE,1701798824
87,nuuk,64.1835,-51.7216,-3.66,50,40,2.06,GL,1701798824
88,tazovsky,67.4667,78.7,-28.5,97,97,1.49,RU,1701798824
89,east london,-33.0153,27.9116,16.52,100,75,0.51,ZA,1701798825
90,new norfolk,-42.7826,147.0587,13.29,74,25,2.06,AU,1701798825
91,lebu,-37.6167,-73.65,15.28,73,55,4.66,CL,1701798825
92,nemuro,43.3236,145.575,6.18,85,56,4.2,JP,1701798825
93,geraldton,-28.7667,114.6,21.23,78,100,6.17,AU,1701798825
94,sao joao da barra,-21.6403,-41.0511,31.05,81,57,6.7,BR,1701798825
95,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,6.17,EC,1701798825
96,atafu village,-8.5421,-172.5159,28.3,78,65,4.67,TK,1701798825
97,port mathurin,-19.6833,63.4167,26.01,84,81,4.28,MU,1701798825
98,kruisfontein,-34.0033,24.7314,16.6,76,100,5.96,ZA,1701798826
99,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,79,20,5.36,RU,1701798826
100,whitehorse,60.7161,-135.0538,-2.57,86,75,10.29,CA,1701798826
101,bengkulu,-3.8004,102.2655,24.28,95,98,1.9,ID,1701798826
102,necochea,-38.5473,-58.7368,20.68,49,37,10.51,AR,1701798826
103,vernon,50.2581,-119.2691,8.5,93,100,2.57,CA,1701798584
104,iskateley,67.6803,53.1512,-29.43,94,9,3.13,RU,1701798826
105,kismayo,-0.3582,42.5454,27.97,74,98,5.22,SO,1701798826
106,bodo,67.28,14.405,-1.14,98,100,6.17,NO,1701798827
107,christchurch,-43.5333,172.6333,14.39,85,100,4.63,NZ,1701798799
108,kapa'a,22.0752,-159.319,24.18,87,75,8.75,US,1701798783
109,iqaluit,63.7506,-68.5145,-10.15,79,75,3.09,CA,1701798827
110,lobujya,27.95,86.8167,-11.58,27,48,1.32,NP,1701798827
111,san luis de la loma,17.2706,-100.8939,30.9,54,99,2.72,MX,1701798827
112,college,64.8569,-147.8028,-20.03,74,75,0.0,US,1701798827
113,port-vila,-17.7338,168.3219,23.78,100,75,1.54,VU,1701798610
114,richards bay,-28.783,32.0377,21.14,85,100,4.42,ZA,1701798827
115,isiro,2.7739,27.616,19.99,98,73,0.3,CD,1701798827
